text,PC1,PC2,UMAP1,UMAP2,iso_prediction,iso_score,cluster,sent_neg,sent_neu,sent_pos,sent_compound,iso_norm,dbscan_outlier,risk_score,risk_level,iso_contribution,dbscan_contribution,neg_contribution,pos_contribution
"Thank you for calling [ORGANIZATION] [ORGANIZATION] [ORGANIZATION]. Please be advised we require a [DURATION] [DURATION] notice to avoid a cancellation fee. Please listen closely as our options have changed. For food and prescription refills please. If this is a life threatening Emergency, please press [PHONE_NUMBER] if you are needing to schedule a new client exam. If you are currently here for an appointment, who pick up food, medications, your pet or to schedule an appointment. For hospital hours and information, please press [PHONE_NUMBER]. Thank you for your patience. While we are connecting you to the next available staff member for new clients, we will need all previous records prior to your appointment. If no records are received, we will need to reschedule your appointment or give all needed services. We require a deposit for review client exam and require a [DURATION] [DURATION] notice to avoid a cancellation fee. Payment is due at the time of service and we do not offer payment plans. We do accept careredit and scratch pay but you must be approved prior to your visit. Thank you for holding. Pleasebody else that help here, can you please hold? Yes, thank you. Yes, let's physically stop before we get into hand finish. I'm so sorry to keep you holding for so long. How can I help you? Yes, I'm wondering how I would go about setting up a like a time appointment for two dogs that I'm getting this afternoon. But appointment in the picture they've never had [MEDICAL_PROCESS]. They send de worms, they're [PERSON_AGE] [PERSON_AGE] old. Oay all right, so since they never had [MEDICAL_PROCESS], you don't have any [OCCUPATION] records obviously, so we don't have to worry about that. What we would do is just take your information, the information on the dog for the first appointment, the exam, we would collect the $[MONEY_AMOUNT] deposit for each dog and that would go towards the cost of the exam. And then that's, you know, once we have the deposit we would go ahead and set the appointment up. And what's that exam? What all does that include? The exam is just a [MEDICAL_PROCESS] [MEDICAL_PROCESS]. There are any [MEDICAL_PROCESS] that they receive would be additional. They're young, hopefully they're healthy. They wouldn't probably need any [MEDICAL_PROCESS] [MEDICAL_PROCESS]. But typically their first [MEDICAL_PROCESS] would be [MEDICAL_CONDITION]. They would do a [MEDICAL_PROCESS] [MEDICAL_PROCESS] to check [MEDICAL_PROCESS] [MEDICAL_PROCESS] and then they'd come back in about [DURATION] [DURATION] for the booster on the [MEDICAL_CONDITION] [MEDICAL_CONDITION]. And then at [PERSON_AGE] [PERSON_AGE], actually they're [PERSON_AGE] [PERSON_AGE] old now, so I'm not sure how that would work. But at [PERSON_AGE] [PERSON_AGE] they can get aeppto [MEDICAL_PROCESS], a [MEDICAL_PROCESS] [MEDICAL_PROCESS] if they need it, and then they have to be. Let's see. I think it's [DURATION] [DURATION] for [MEDICAL_CONDITION], so it might be more than that. But mainly it would be a [DRUG]. [DRUG] [DRUG]. It looks like you'd be needing [DRUG]. So I could actually administer those myself if I bought them somewhere else. Correct. Because I've done it before. Tractor supply. Yeah, that's definitely an option. And like I said, they've already been [MEDICAL_PROCESS] person I'BUYING them for. Right. So, I mean, if you wanted to just bring them in for an exam, you could, you know, set that up. And then, you know, if you chose to, say, decline a [MEDICAL_PROCESS] or decline a [MEDICAL_PROCESS], you could do that for the reasons that you mentioned. All right, so would I just bring them in and then give you guys some money at that point in time or prepay and then set up an appointment. How does that work? Yeah, we usually do prepay over the phone. We get. Like I said, we get your information and your address and your phone number and, you know, whatever information we have on the puppies, like, you know, the breed and age and stuff like that. All right, so let me give you all a call back on Friday when I actually have money to do all that, and we'll go from there. All right, well, thank you so much and best of luck with the new pups, and we'll talk to you either at the end of this week or next week. All right, thank you. All right, thanks. Bye.",-11.1111759417994,-2.8712309712848274,5.247957,8.149521,1,0.4116502158083636,-1,0.021,0.838,0.142,0.9984,0.15703113267438318,1,20.597179287206824,Low,10.992179287206822,10,0.315,-0.71
"Good morning. Thank you for calling [ORGANIZATION] [ORGANIZATION] [ORGANIZATION] [ORGANIZATION]. [PERSON_NAME] speaking. How may I help you? Hi, [PERSON_NAME]. I was looking to board two of my dogs towards the end of the next suite for [DURATION] [DURATION] [DURATION] [DURATION]. I was just wondering if you had any availability. Yes. Which baby is it? It will be for [PERSON_NAME] and [PERSON_NAME]. Okay. And then I can give you the exact date. Yes. What would the drop off say be? Yes. Let me pull up my calendar here. Okay. It will be the [DATE] through possibly the [DATE]. If I pick them up on the [DATE], is that going to be a problem at all? No. The only thing to remember is if you wanted your pets to get a bath, we always do that on the last [DURATION] that they're here boarding. Okay. Okay. Typically, I don't have them do a bed. You don't have worry about that detail. We would just take that extra [DURATION] off your price. But it is best to, I would say, always book the whole time you think you might need. It'harder for us to add than for us. Yeah, yeah, that's what I was thinking. Yeah. So I'm going to do the [DATE] through the [DATE] for sure for this. Okay. I will go ahead and put them on and then let me see if they need anything updated. So you have an idea? Give me one second. Yeah, I think they have [DURATION] [DURATION] [DURATION] [MEDICAL_PROCESS] they need updated. Otherwise they were just did [DURATION] [DURATION] [DURATION] [DURATION] ago for other [MEDICAL_PROCESS]. P. San [PERSON_NAME]. Right? Yes. All right. So [PERSON_NAME], we will need [MEDICAL_CONDITION] [MEDICAL_CONDITION]. Current unsecal may be from [DATE_INTERVAL]. [PERSON_NAME] will need [MEDICAL_PROCESS] [MEDICAL_PROCESS] [MEDICAL_PROCESS]. Okay. And then I don't know if you want to update an exam for [PERSON_NAME]. Let's see, when we lasted one came in for a [MEDICAL_PROCESS] [MEDICAL_PROCESS] in [DATE_INTERVAL]. So technically you'll still have an exam on file until [DATE_INTERVAL] [DATE_INTERVAL]. And then [PERSON_NAME] had a [MEDICAL_PROCESS] [MEDICAL_PROCESS] under [DURATION] [DURATION] ago. So she's good. Yep. Okay, great. All right. And when you get a chance, you don't mind filling out [DURATION] [DURATION] [DURATION] those boarding forms online for us on our website. Sure, I sure will. Thank you. All right. Thank you so much. No, that was all. Okay. Have a good [DURATION]. Thank you. You too. Bye.",-8.273555804747097,6.279497505571446,3.9947145,7.6901636,1,0.3964583787467461,-1,0.007,0.8,0.193,0.9975,0.10005503225635826,1,16.143852257945078,Low,7.003852257945078,10,0.105,-0.9650000000000001
"Thank you for calling [ORGANIZATION] [ORGANIZATION] in [ORGANIZATION] [ORGANIZATION] [ORGANIZATION] for [LANGUAGE] for [LANGUAGE]. Thank you for calling [ORGANIZATION] [ORGANIZATION]. This my name is [PERSON_NAME]. [ORGANIZATION] [ORGANIZATION]. Okay. [PERSON_NAME]. How are you doing? I was calling to see if you had any openings for tomorrow for [PERSON_NAME]. I can take a look. Have you been seen by us before? Yes. Okay, May I have your date of birth, please? [DATE_OF_BIRTH], [DATE_OF_BIRTH]. All right, [DURATION] second. [DATE_OF_BIRTH]. And the patient's first and last name? [PERSON_NAME]. [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] a last name [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] said [DATE_OF_BIRTH]. [DATE_OF_BIRTH]. [DATE_OF_BIRTH]. Okay. [DATE_OF_BIRTH]. No, I thought you in [DATE_INTERVAL] and2013. Let me see. You don't see it. Can you spe your last name for me? [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME]. This is [PERSON_NAME] [PERSON_NAME], right? Yes, ma'am. Oay yeah, I've been to the [DURATION] [PERSON_NAME]. Well, they might just have like your date of birth wrong and that's I'm not able to find you O I found it right here. Okay. All right. So the last time you did come in was in2018. And are you still wanting to go to that same location? It was full 10. No, I wanted to see about [OCCUPATION] from closer. Okay. And I want to see it because I want every time I have a no call in and have appointment, some always go wrong. So I want to don't have anything to do tomorrow and I want to make sure that. Hello? They do have appointments available tomorrow. They have [DURATION] at [TIME] O that's way too early now. And I have a tweet old there's not nothing in the Give me [DURATION] second. And then I have my mother. She wants to come too. Can we book her for me too with me. Okay. She'never been there. Okay, so for tomorrow that is the only [DURATION] they have available. And then on Thursday I can check. Sure. Is your good co to [PHONE_NUMBER] [TIME]? I'm just going to see which other location is near you. Okay. We also have [LOCATION] [TIME] [TIME] [LOCATION] [LOCATION] [LOCATION] [LOCATION] [LOCATION]. Say that again. [LOCATION] [LOCATION] [LOCATION] [LOCATION] [LOCATION]. So if I put it in to the den with all of them pop up in [LOCATION]. So if you go to [URL] and put a click where it says find an office. You can put your zip code so that [DURATION] is full booked as well tomorrow. So [DURATION] is booked up too. Yes, ma'am. O All right. And then there's [DURATION] more we have [ORGANIZATION] [LOCATION] [LOCATION] [LOCATION] [LOCATION]. That's [LOCATION], [LOCATION] [LOCATION]. It shows 9.4 miles away. They do have [TIME] appointments available to. Wait [DURATION] second because you need to. They only have morning and I know you said that was too early. They have an [TIME] and a [TIME]. Could you try to [DURATION] for [PERSON_NAME] then? Which [DURATION], ma'am? I think it was [LOCATION] [PERSON_NAME]. We don't. Is that the crossing street? It just said that's [DURATION] I went to's. Yeah. Yeah. All right. One second. Let me see if they have any. So they do have appointments available tomorrow. They have a [TIME] and have a [TIME], [TIME] and [TIME]. So we can do [TIME] and [TIME] or [TIME] and [TIME]. You do [TIME] and [TIME]. Okay. All right. And then for [PERSON_NAME] and do you have insurance? We using insurance for this visit? I will be using. I'll be paying cash for the visit. And when I see what type of care I got up, try to get a no payment plan like I did the last month. They said they have something. They have something better. Like another plan. Better than what I had, but. Okay. And then the phone number we have on file, we do have twoone you could try. Okay. Do you know how much the visit it is? I think yes, ma am. So when you come in, it will be $[MONEY_AMOUNT]. Okay. And that'll cover your exam. And then they'll explain pricing with you for whatever treatment you may need. Okay, let me just. Then you said it will be your mom's first time, correct? Yes. All right. May I have her first and last name? [PERSON_NAME]. [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME], [PERSON_NAME], [PERSON_NAME], [PERSON_NAME] [PERSON_NAME]. With the same last name. I'm sorry? [PERSON_NAME] with the same last name as me. Okay, got [DURATION]. And then for the callack number, do you want me to go ahead and add your phone number as well? [PHONE_NUMBER]. Yes. Yes. The [PHONE_NUMBER]. It is the same numbers. Everything is the same. And she'll be using the savings plan as well. Or we she be using insurance. She will be using. They don't take her insurance. Do they? Take a me? Good. Oh, we do. Yes, ma'am. Okay. We should be using her insurance card, her visit. Okay. Do you need the information now? Can we give it to the people'the place? I can take it now or you can bring it in tomorrow and I'll just. No team. Okay, we'll bring in tomorrow. You said [TIME], right? I. Yes, ma'am. Can you just verify your address, please? I'm not sure if we have the correct [DURATION]. [LOCATION] [LOCATION] [LOCATION] [LOCATION], [LOCATION]. Okay, thank you. So they do have that [DURATION]. And then may I have your mom's date of birth please? [DATE_OF_BIRTH] yes. Okay, so I just go ahead and notate that she will be bringing in the insurance tomorrow for the appointment we do have to scheduled for tomorrow when they [DATE] [DATE] and that is at [TIME] and at [TIME]. Thank you so much. You're very welcome. Is there anything else I can assist you with? The name be all. All right. Thank you so much for calling [ORGANIZATION]. We look you tomorrow and that is that full timeect. Thank you. Thank you so much for calling. Have good day.",7.589131752391101,5.75429700881623,1.3569545,6.3355193,1,0.3861950198583745,-1,0.015,0.854,0.131,0.9985,0.06156290228693462,1,13.879403160085424,Low,4.309403160085424,10,0.22499999999999998,-0.655
"Thank you for calling [ORGANIZATION] [ORGANIZATION], where your smile is our passion. Please listen to the following options so we may better serve you. If you are a new patient. Welcome to our practice. Press [PHONE_NUMBER] to schedule a complimentary consultation. We look forward to taking excellent care of you. If you are an existing patient calling to schedule or reschedule an appointment or to make a payment on your account, press to. Thank you for calling. This is [PERSON_NAME]. How can I help you? Hi, [PERSON_NAME]. This is [PERSON_NAME] [PERSON_NAME]. I'm trying to get [PERSON_NAME] [PERSON_NAME] in to get a [MEDICAL_PROCESS] [MEDICAL_PROCESS] [MEDICAL_PROCESS] [MEDICAL_PROCESS] and we're kind of having trouble getting a time coordinated. But her sister's coming in to get braces today and I'm just wondering if she can like sneak in with her appointment and get it fixed. I don't. Nope. I don't have. We are all six columns of cost. We are down two [OCCUPATION] and one T. And so we would not be able to see her. Okay. What's the next appointment you have? We are in the [LOCATION] [LOCATION] office tomorrow. I don'teah. We don't have anything tomorrow. So I would need to look at next [DURATION]. Either the [DATE] or [DATE]. [DATE], we're in [LOCATION]. [DATE]. We're in [LOCATION] [LOCATION]. Okay. [DATE] [DATE]. Okay, one second. Let me just look at my phone quick. Okay. What time on the [DATE]? We could do. Let me see the morning. If there's morning would be like a [TIME]. [TIME] or [TIME]. Otherwise in the afternoon there's a [TIME]. Can be either [TIME] or like [TIME] what would be better to miss morning or afternoon on Tuesday? Okay. Can I do the afternoon on Tuesday? Yep. And I can do either [TIME] or [TIME]. I don't know if it matters, but if you need. Yeah, we'll do [TIME]. Okay. All right. I will go ahead. Have like a cancellation list at all. Like if anyone were to cancel, I can. Yep. Yep. I can definitely put her on there. That'd be great. I would take any like late afternoon or early morning. I don't care if it would bury a potttage gr. Okay, Yep. I will put that on there as well. And then otherwise we'll see her on [DATE], [DATE] [DATE] at [TIME] in the [LOCATION] office. Great. Thanks so much. Yes. You're welcome. Bye.",-14.619457555281768,2.1629378248019018,4.902317,7.6275444,1,0.4223355575084921,-1,0.02,0.757,0.223,0.998,0.197105884611106,1,22.982411922777423,Low,13.797411922777421,10,0.3,-1.115
"Thank you for calling [ORGANIZATION] [ORGANIZATION]. This is [PERSON_NAME]. How can I help you? Hey, [PERSON_NAME]. You lose your voice, honn? Sure. Shut up my ale talk. Do you have any My dog [PERSON_NAME] stay with you this. It's been like [DURATION] [DURATION] [DURATION] [DURATION] [DURATION] ago, but I also had him roomoo for u. He's a golden retriever. And your [OCCUPATION] did a great job. And he needs [OCCUPATION] because he's sheding t everywhere. Yeah. Did you need a full haircut or were you just looking to get a good bath and like, maybe airmintator for him or you want to cut the hair? No, let's cut the hair down. Okay. Make him look like a poodle. We do have a new [OCCUPATION]. Ms. [PERSON_NAME] working with us now, but she does a phenomenal job. She's done a couple of the [OCCUPATION] here on their dogs think should get you guys all squared away. You pulled up here, did you? Because I'm want to make sure. Because I'm not from here and so you're kind of like out from [LOCATION], like on farm kind of thing? No. So I think you might be thinking of pets in suites. Pets and suites? Yes. They have a large property. It kind of pushed back in and it was like a large feel in the front. Gives more like a farm mouth kind of feel to it. But. But I mean, are you good? Yeah, I mean, we're more than happy to take you. I just your heart set on the other location. Do what? I don't know if you had your heart on the other [OCCUPATION] that you had worked with, but we'more. No, no, no, no, no, no, no, no. I just. He. He's driving me forget insane. And because he sleeps with me and so when I get all this the fur in my mouth, you I't sleep. So, you know, it's time for him to get worked on. Yeah, definitely. What was good for number for you? [PHONE_NUMBER]. Okay. And what was the last name? [PERSON_NAME]. [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME]. All right, a good email address for you. Do what email address for you. Com oay. And your home address is [LOCATION] [LOCATION] [LOCATION] [LOCATION]. Be for [LOCATION]. Is that [PHONE_NUMBER]? Gota. All right. What was your pup'first name? And his first name is [PERSON_NAME]. Oay. I've tried that furminor or whatever on him because I he. His d is pure animal hospital. And you know, they oh, he want'you anymore. And I go, huh? And then work very well. But I never shaved him to. I never shaved him till last year. I mean not shave shaved, but I mean shave. I mean I took his hair off, but he was happy. I was happy and the house was happy. That's good. All right. Is he [MEDICAL_PROCESS]? Yes. Do how much he weigh? [PHYSICAL_ATTRIBUTE]. Okay. Do you how old he is or his birthday? His birthday and he'll be [PERSON_AGE] years old. Okay. I then what you guys is [OCCUPATION] [OCCUPATION] that you're working with? Yeill [ORGANIZATION] [ORGANIZATION] [ORGANIZATION] [ORGANIZATION]. Okay. They don'have a specific so I can make your reservation for you. They don't have a specific [OCCUPATION] he goes to. Just goes over over there and gets his [MEDICAL_PROCESS] and stuff. Gota I was going to ask you like one of the only people that get a [MEDICAL_PROCESS] [MEDICAL_PROCESS] short. No. We see a lot here, especially in the summertime. It's pretty common to they usually do where they take off like all the feather that falls like behind their leg and their belly. A lot of people cut that off and then they cut the [DRUG] as well too. So it kind looks like a doodle haircut because it's real shaved all over. Yeah, I mean he was one of my neighbors goes, oh, you got you a new dog? And I said no, it's the same one you didn't like before because she hated my dog because he was, you know, I la out the door. He d visit and he was but he was just very social and she didn't like dogs so so said no, but he's the best boy in the world. All right, let's see what [DURATION] she has. I'm just going to check her schedule and see what [DURATION] she is available for you. Thank you. How about [DATE] [DATE] [DATE]? It looks like the first she's got available. [DATE] [DATE] [DATE]. Yes. Okay, we're good. [DURATION] [DURATION] from now, [TIME]. Just send me an email. Yes, they'send you an email confirmation to the email you provided me. And then as far as vaccine records go, if you have your bet email them to you. You can show them to us when you come in. Or some people go to their [OCCUPATION] and grab a paper copy of it or some people like to text it over. It's up to you. Whatever works best. Okay, whatever. I'll make it work. Are you hard to find? Well, I mean gps so nobody's too hard to find. Yeah, no, I mean we're right behind the [ORGANIZATION] that's on [LOCATION] [LOCATION]. So once you see that, you kind of just come on to the back road and you should see us and we have a really tall sign that you can see from, like, the main streets, too, so. But if you have any issues, just give us a call. We'll kind of guide you in. Thank you so much. Have a great [DURATION]. Problem? You too. Bye.",8.639485299933412,-15.84994806849881,1.9239544,2.73224,1,0.4247819943142463,-1,0.033,0.779,0.188,0.9995,0.20628110341747208,1,23.994677239223044,Low,14.439677239223045,10,0.495,-0.94
"Hello. Thank you for calling [ORGANIZATION] [ORGANIZATION]. I'm [PERSON_NAME], this is [PERSON_NAME]. How can I help you? Hi, [PERSON_NAME]. How's it going today? It's going pretty good. How about you? Not at all. Thank you for asking. This is [PERSON_NAME] [PERSON_NAME]. I was looking to book boarding for my dog in about [DURATION] [DURATION] [DURATION] [DURATION] [DURATION] or so. Okay, what's the phone number of the account? For [PERSON_NAME] or for [PERSON_NAME]? YepNK. For [PERSON_NAME]. Yep. Hello. What [DURATION] are you looking to book? So it would be [DATE] [DATE] to [DATE] [DATE] or [DATE] [DATE] side. It said August 24to [DATE] [DATE]? Yes, got it. Okay, and are you looking to board a luxury or classic suite? Just the regular one, the classic. And then are you looking for any additional services like play packages, bath? Nope. Okay, and then what's the last name? [PERSON_NAME]. [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME]. Going a little slow. Okay, so your deposit needs to be [MONEY_AMOUNT] in order for us to secure a room for you. If you like to pay with the [OCCUPATION] on fire. Ye. Okay, got it. Your deposit has been saved. Thank you so much. Okay, how do n say yep? You too?",4.3894937743826095,12.56449312556869,2.0545275,7.035522,1,0.4361291166336295,-1,0.032,0.776,0.192,0.9857,0.24883782503728358,1,26.93864775260985,Low,17.41864775260985,10,0.48,-0.96
"Thank you for calling [ORGANIZATION] [ORGANIZATION]. New patients, please. Existing patients, [OCCUPATION] [OCCUPATION], labs, [OCCUPATION] [OCCUPATION], Please select your locationton2 for boun3 for [ORGANIZATION] [ORGANIZATION]. This is [PERSON_NAME], how may I help you? Hi, this is [PERSON_NAME] [PERSON_NAME]. Hi. And I was calling to see if those physical papers and been sent over yet. Let me check real quick. I know I sent over the form to them, but let me check our email. Give me just a moment, okay? Okay. Give me just a moment. Okay, fine. Okay. [PERSON_NAME], we have not received anything yet. What's that? Did they. We haven't received anything yet. Did they tell you that they got my. My information? Yeah. Do you know where you sent that information to? I sent it to the [PERSON_NAME]. Let me just look and see. Yes, I got an appointment tomorrow with them, so I'll get on them and tell him to get it ready. Okay, so you have an appointment tomorrow then? Yeah, I just happen to have one, so. Okay. And you went today as well or. No, no, I go tomorrow. You go tomorrow. Okay. Just let them know that I have sent over what we need from them. Okay, I will. Okay, thank you. Thank you. Go ahead. Okay, bye. Okay, bye.",-16.66606503299972,-3.0619417035410685,6.2033997,6.986154,1,0.4627366125181872,-1,0.0,0.772,0.228,0.9937,0.3486276892414575,1,33.26393824690202,Low,24.403938246902023,10,0.0,-1.1400000000000001
"Hello, Good afternoon, this is [PERSON_NAME] [PERSON_NAME]. How can I help you today? Hi, I was calling to feedack and schedule an appointment for tomorrow. Yes, let me see. Give me [DURATION] [DURATION] [DURATION] [DURATION]. Okay, let me see. For tomorrow, is it going to be a general correct? Yes. Okay, let me see. I do have something in the morning. At [TIME]? Yes, [TIME] at work. Okay. It's going to be a first time here or no? Yes. Okay. What's your first and last name? [PERSON_NAME]. You want his name or my name? For the appointment? For the patient of the appointment. Okay. [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME]. And what's a good phone number? Yes, ma'am. Okay, and what good address? Address? The [ORGANIZATION] office. It would be [LOCATION] [LOCATION] [LOCATION]. Give me [DURATION] [DURATION] minutes. Submit based on it. Street or. Yes? Yeah, street Oay. And what's the zip code? [LOCATION]. And will he be using any dental insurance? Yes. What is date of birth? [PERSON_NAME], when is s your birthday? Okay, let me see. And what's going to be the insurance? [ORGANIZATION] [ORGANIZATION] [ORGANIZATION]. You say you [ORGANIZATION] [ORGANIZATION]. [ORGANIZATION] [ORGANIZATION] [ORGANIZATION]. That's medical. Is itic Medicaid? Yes. What's the member ID? One second. [HEALTHCARE_NUMBER]. Let me just verify everything is correfct you say date of birth is? Yes. Okay. And this is [ORGANIZATION] [ORGANIZATION]. Medicaid [HEALTHCARE_NUMBER]? Yes. Okay. Okay. I already made the appointments. Can be for tomorrow at [TIME]. Okay. Thank you. You're welcome. Have a good day. You too. Thank you. Bye.",13.363243070633748,13.408168790540111,0.8580388,5.937602,1,0.4497441315935478,3,0.0,0.75,0.25,0.9961,0.2999001459667989,0,19.743010217675923,Low,20.993010217675923,0,0.0,-1.25
"Thank you for calling [ORGANIZATION] [ORGANIZATION]. If you're a new patient, please. If you're an existing patient, thanks for calling [ORGANIZATION] [ORGANIZATION] [ORGANIZATION] [ORGANIZATION]. This is [PERSON_NAME]. How may I help you? Hi, my name is [PERSON_NAME]. I previously got care there, but I haven't had insurance in a really long time. But I now have insurance and I was wondering if you guys accept [ORGANIZATION] or in do with them. Yeslo plan? Yes. Okay. I am having trouble finding like the proof or like a number or anything like that. Do you guys need that in order for me to come in or do you. You guys can handle all that? [ORGANIZATION] uses your [ORGANIZATION] [ORGANIZATION] number. Okay, cool. I was actually wondering if I could schedule something. Sure. What is the phone number for the account? It should be [PHONE_NUMBER]. Okay. And your date of birth? There you are. Okay, let me. And then is this insurance under your name? [PERSON_NAME]? Yes. Okay, let me get this in there. Is there a group number at all? That's what I'm having trouble finding. Okay, that's okay. And then can you go ahead and give me your [ORGANIZATION] [ORGANIZATION] number then for your id? Okay. And then your employer, it'd be [ORGANIZATION] [ORGANIZATION] [ORGANIZATION]. [ORGANIZATION] [ORGANIZATION] [ORGANIZATION] [ORGANIZATION]. Okay. And you said this is [ORGANIZATION]? Yes. Okay, give me a second here. Okay, I got that in. And let me see. Y. It's been a little bit, so we're going to have to have you come in. Kind of like a new patient exam and everything. So what are best [DURATION] for you? I'm only off Mondays and Tuesdays. Okay, let's check those [DURATION]. It doesn't have to be immediate. Yeah, we'll see what our first new patient opening is. I do have an opening on [DATE] [DATE]. I have a [TIME] or a [TIME] available [TIME] unless you have something even later in that [DURATION]. I don't for that [DURATION]. Okay, [DATE]. Let me get you in there. One moment. Okay, [PERSON_NAME] [PERSON_NAME], I've got you in for [DATE] [DATE] at [TIME]. That'be with [PERSON_NAME]. [PERSON_NAME]. Perfect. Thank you so much. Thank you, [PERSON_NAME]. You have a good [DURATION] now. You too. Bye. Thank you. Bye.",-13.064517584158017,7.412138626148391,3.924041,7.145671,1,0.4122710058981512,-1,0.016,0.739,0.245,0.9982,0.15935936976320875,1,20.17015588342461,Low,11.155155883424612,10,0.24,-1.225
"Thank you for calling. [PERSON_NAME]. [PERSON_NAME] office is [PERSON_NAME]. How may I make you smile today? Yes, I'm calling to order my top retainer. I just misplaced it a [DURATION] [DURATION] ago. Okay. Il ll be happy to help you. And your first and last name, please? [PERSON_NAME] [PERSON_NAME]. Thank you. Let me find you. All right. And is it at the upper and lower? Just the upper. Okay. All right. For that it is [MONEY_AMOUNT]. To remake the upper, we do ask. Let'see see, I see the original. Call someone. I talked to you earlier or last week. We do. We can make it without seeing you again. But we do advise, like if you've been wearing it all the time because if it doesn't fit, we'd have to remake another one. Okay. Okay. All right, so what we can do is I can put that order in. As soon as it's done, I can call you. It does take about [DURATION] [DURATION] [DURATION] [DURATION]. ### Do you want to go ahead and pay the [MONEY_AMOUNT] now? Yes. Okay, let me get you in here. So what I'm going to do, let me go ahead and schedule you to come and pick it up just so I can ensure someone's going to be here. Okay. All right, what I'll do is our clinic is at lunch. As soon as they come back, I'll call you with that. Because it may be Wednesday or not, I'll put you down for Friday. Okay. All right, Let me get you in here, Miss [PERSON_NAME]. All right. What type of card do you have? It's a [ORGANIZATION] debit card. [ORGANIZATION]. All right. What is that card number, please? [CREDIT_CARD_NUMBER]. In the expiration, [CREDIT_CARD_EXPIRATION]. And the last three on the back, please. [CREDIT_CARD_CVV]. All right. And the zip code for your card? [LOCATION]. Thank you. All right, so that will ll email you the receipt. I'll go ahead and place the order for our back. To get that, for you to get the model pulled, let's just go ahead and say Friday and if they're done by Wednesday, I'll call you. Is there a better time on Friday that you're available more than another? As long as it's, I would say just afternoon because I'll be at work. You want to do like a [TIME]? Yeah, that'll be fine. [TIME]. Okay, I'll put you in there to get those delivered. And like I said, if anything changes, I'll give you a call. Okay? Okay. Now, should I still show up to my. I have a Wednesday appointment I haven't confirmed yet, but I have a Wednesday appointment to come in. Do or do I reschedule? Let me see. I didn't P up for me. Yeah. That is just a retainer check. We'll cancel that and we'll reschedule it out for this. Okay. All right. Thank you. Thanks. Bye.",-11.4224467210256,-4.863212901394947,6.4123034,6.3588886,1,0.4229901819816584,-1,0.018,0.815,0.167,0.9969,0.199561015584927,1,23.40427109094489,Low,13.96927109094489,10,0.26999999999999996,-0.8350000000000001
